industry_type	environmental_stewardship	global_citizenship	curiosity_and_lifelong_learning	dependability_and_attention_to_detail	motivation_and_self_awareness	resilience_flexibility_and_agility	empathy_and_active_listening	leadership_and_social_influence	teaching_and_mentoring	analytical_thinking	creative_thinking	multilingualism	reading_writing_mathematics	systems_thinking	marketing_and_media	service_orientation_and_customer_service	quality_control	resource_management_and_operations	talent_management	manual_dexterity_and_precision	sensory_processing_abilities	ai_and_big_data	design_and_user_experience	networks_and_cybersecurity	programming	technological_literacy
"Accomodation, food and leisure"	21	17	38	45	38	53	40	49	19	51	47	25	11	38	15	42	40	25	38	15	4	26	11	19	9	38
Advanced manufacturing	24	18	53	42	64	73	49	46	24	71	55	29	27	42	18	42	40	49	44	25	9	35	22	13	9	51
"Agriculture, forestry and fishing"	26	22	56	37	52	56	48	56	37	59	56	37	26	63	15	41	44	41	37	26	0	33	15	19	7	41
Automotive and aerospace	26	15	56	41	62	67	56	59	28	72	69	28	15	38	15	36	46	51	59	15	10	54	31	26	10	59
Chemical and advanced materials	28	14	48	24	52	66	38	59	17	48	62	28	17	31	17	28	38	41	35	10	7	34	21	24	10	38
Education and training	10	16	54	32	48	66	42	52	50	70	64	36	24	50	34	36	30	24	42	2	2	56	36	22	12	54
Electronics	12	8	44	44	60	68	52	60	16	80	76	28	32	40	24	40	24	32	36	12	8	44	16	24	16	48
Energy technoogy and utilities	27	16	41	29	49	67	39	57	24	80	73	16	16	47	10	31	33	47	37	12	8	31	22	20	20	61
Financial services and capital markets	15	14	61	37	58	73	55	66	23	80	65	28	22	42	19	51	31	33	54	8	3	61	32	38	22	65
Government and public sector	39	23	34	48	52	57	45	66	32	61	45	20	25	27	25	57	25	59	46	18	5	50	27	39	11	52
Information and technology services	12	17	66	46	55	70	53	59	30	83	57	22	28	50	18	47	25	29	49	9	7	66	39	37	36	50
Infrastructure	21	12	52	39	42	59	46	55	20	65	59	26	23	39	18	39	44	41	46	11	8	39	27	30	12	42
Insurance and pensions management	17	22	83	33	64	94	69	75	33	89	72	25	28	36	17	58	19	33	61	8	11	58	33	31	19	68
Medical and healthcare services	8	14	43	38	43	65	51	51	5	59	49	11	16	57	24	43	32	24	46	11	5	51	16	16	14	32
Mining and metals	50	5	55	30	45	55	35	55	25	50	65	25	20	65	20	25	50	50	25	25	5	25	5	0	5	55
Oil and gas	25	3	44	31	63	81	47	69	31	59	53	22	22	31	13	38	34	53	53	3	6	31	16	22	10	44
Production of consumer goods	34	15	46	29	54	65	48	63	30	68	59	22	20	51	29	53	48	51	57	24	17	42	26	18	20	61
Professional services	21	19	44	30	40	44	53	58	28	77	67	30	21	42	14	58	42	42	30	12	0	37	16	30	7	37
Real estate	17	9	52	52	48	52	61	57	26	43	61	22	17	35	17	48	39	30	39	0	4	43	26	13	9	30
Retail and wholesale of consumer goods	15	14	61	48	64	73	68	73	20	71	60	25	24	44	27	54	28	44	59	15	7	41	28	19	12	47
Supply chain and transportation	33	12	37	50	53	67	43	59	27	70	48	26	20	45	22	51	40	56	49	17	7	44	27	34	19	52
Telecommuncations	21	10	48	24	62	66	55	76	38	86	66	10	21	38	28	55	31	34	55	14	7	66	48	48	38	55